id,name,city,rating,rating_count,cuisine,cost
211,Tandoor Hut,Bangalore,4.3,100,Biryani,300
218,Anand Sweets and Savouries,Bangalore,4.4,1000,Sweets,300
219,Anjappar,Bangalore,3.9,500,Chettinad,600
221,Tunday Kababi,Bangalore,4,100,Mughlai,300
223,Truffles,Bangalore,4.4,5000,American,450
226,Delhi Food Point,Bangalore,3.8,100,North Indian,250
227,Via Milano,Bangalore,3.9,50,Italian,800
229,Meghana Foods,Bangalore,4.3,5000,Biryani,500
232,The Hole in the Wall Cafe,Bangalore,4.3,500,American,257
234,Uday Sweets,Bangalore,4.1,100,Rajasthani,100
237,Anupam's Coast II Coast,Bangalore,4.2,100,North Indian,1000
241,Anjappar,Bangalore,3.9,500,Chettinad,600
246,Kim Lee,Bangalore,4.2,50,Chinese,650
248,New Punjabi Hotel,Bangalore,3.8,100,North Indian,250
249,NH8,Bangalore,3.9,100,Rajasthani,350
252,Tadka Singh,Bangalore,4,100,Punjabi,300
254,Treat,Bangalore,4.3,100,Mughlai,800
256,Yogisthaan,Bangalore,4.2,100,Healthy Food,600
258,Chinita Real Mexican Food,Bangalore,4.4,100,Mexican,1000
262,Anand Sweets and Savouries,Bangalore,4.5,1000,Sweets,300
263,Cupcake Noggins - Vintage Patisserie,Bangalore,4.2,50,Desserts,150
267,Tea Brew,Bangalore,4.2,100,American,350
270,Donne Biryani House,Bangalore,3.9,500,Biryani,130
271,Meghana Foods,Bangalore,4.4,1000,Biryani,500
275,Mani's Dum Biryani,Bangalore,4.2,1000,Andhra,400
287,Fish & Fries,Bangalore,3.8,100,Seafood,300
295,Kumarakom,Bangalore,4.2,500,Kerala,300
297,Parika,Bangalore,4.1,100,North Indian,1000
304,A2B Veg,Bangalore,4.2,1000,South Indian,300
305,A2B Veg,Bangalore,3.9,1000,South Indian,300
307,A2B Veg,Bangalore,4.3,1000,South Indian,300
308,Bangaliana,Bangalore,4.2,500,Bengali,500
310,Gongura Grand,Bangalore,4,100,Biryani,300
312,Beijing Bites,Bangalore,4.4,500,Chinese,450
322,Madurai Idly Shop,Bangalore,3.9,500,South Indian,150
323,Madurai Idly Shop (80 ft. Road),Bangalore,4.1,1000,South Indian,150
325,Sree Krishna Kafe,Bangalore,4.4,1000,South Indian,137
327,Adiga's,Bangalore,4.3,500,South Indian,200
330,New Kabab Plaza,Bangalore,4.4,50,North Indian,500
333,Beijing Bites,Bangalore,4.2,100,Chinese,450
343,Shuddh Desi Khana,Bangalore,4,500,North Indian,350
346,Momoz,Bangalore,4.1,1000,Chinese,350
352,Laddoos,Bangalore,4.1,100,North Indian,200
363,Meghana Foods,Bangalore,4.2,1000,Biryani,500
364,East Delicious,Bangalore,3.9,100,Chinese,350
372,Moti's Kitchen,Bangalore,4.3,1000,Kerala,200
381,Adiga's,Bangalore,4.3,500,South Indian,200
383,Gyaani Da Punjabi Dhaba,Bangalore,4,100,North Indian,500
385,Juice Junction,Bangalore,4.6,50,Juices,150
392,Suryawanshi,Bangalore,4,100,Maharashtrian,450
